key,src,register,en,en_status,max_chars,lines,font_variant,note
q.en.01,「考试」的英文是 ______。,卷面,,n/a,,1,印刷体,英语类·课内词（A）→ 环境通道（黑板单词／课本）
q.en.02,「监考老师」的英文是 ______。,卷面,,n/a,,1,印刷体,★英语类·课外词（A）→ 手机通道。答案 invigilator —— 一个「看着你的人」的词
q.en.03,英语听力第 3 题的答案是 ______。,卷面,,n/a,,1,印刷体,★A2：听力内容只能靠手机通道；而听力期间你不能动（5.5.2）
q.en.04,上周英语课听写的第 5 个单词是 ______。,卷面,,n/a,,1,印刷体,英语类·课内词（A）→ 环境通道（课本／黑板）
q.news.01,今年是 ______ 年。,卷面,,n/a,,1,印刷体,★★时事类·手机通道；与 2.5.3 年份倒退正面冲突——你填的「今年」是哪一年
q.news.02,本学期开学日期是 ______ 月 ______ 日。,卷面,,n/a,,1,印刷体,时事类·手机通道
q.news.03,上周学校通知的放假日期是 ______ 月 ______ 日。,卷面,,n/a,,1,印刷体,时事类·手机独占；这条逼你必须掏手机
q.fill.26,试卷抬头上的考场号是第 ______ 考场。,卷面,,n/a,,1,印刷体,★与 2.5.1 试卷抬头咬合：考场号跟着「第 N 次模拟考试」的 N 走——你换考场的方式是「再考一次」
q.fill.27,监考记录本上写「应到」的人数是 ______ 人。,卷面,,n/a,,1,印刷体,★与 6.3「空座位」咬合：应到 22、实到 21——多出来的那一个座位，没人记得那里坐过人
q.fill.28,《考场规则》背面那行英文条款，开头的词是 ______。,卷面,,n/a,,1,印刷体,★★A3（5.5.2）：规则背面的隐藏条款有一条是英文的，而且它字面成立——它和 q.fill.22 是同一条规则（2.2 / 6.2）
q.fill.29,本考场空着的座位有 ______ 个。,卷面,,n/a,,1,印刷体,★跨源：记名册的「应到」减去你在教室里数到的人；7.1 第一场异象收尾（空座位）
q.fill.30,广播里的眼保健操口令，数到「______」时音色变了。,卷面,,n/a,,1,印刷体,★6.4 眼保健操口令（保留 v1 老点子）：数到「六」时音色变了——只有听觉源能给你这个答案
q.fill.31,隔壁班齐声朗读的是第 ______ 课的课文。,卷面,,n/a,,1,印刷体,★6.4「隔壁班齐声朗读」：但你在四楼，隔壁班是空的。课本里根本没有第 12 课
q.fill.32,日光灯电流的嗡声是 ______ 赫兹。,卷面,,n/a,,1,印刷体,★6.4 日光灯 50Hz 电流嗡声：异视的核心线索。蝉鸣停下之后，它是教室里唯一的声音
q.fill.33,你自己答题卡上被红笔圈出的那道题，是第 ______ 题。,卷面,,n/a,,1,印刷体,★跨源：对照你自己橡皮上的字迹；6.3「你自己的答题卡」——你在写下它的时候没觉得不对
q.fill.34,抽屉里错题本的订正日期是 ______ 月 ______ 日。,卷面,,n/a,,1,印刷体,★6.3「错题本」：翻开发现你从没错过的题，上面有你的订正笔迹
q.fill.35,翻卷子声响起时，正在翻卷子的人有 ______ 个。,卷面,,n/a,,1,印刷体,★6.4「所有人都在翻卷子，但所有人都在看你，没有人动」——所以你数到的是 0
q.fill.36,监考记录本最后一页写的考号是 ______。,卷面,,n/a,,1,印刷体,★★跨源：先用自己卷面上的考号；2.6 终局「最后一页的字迹和你自己的一样」，而那一页写的正是你的考号
q.fill.37,窗外那个人的考号，和记录本上被划掉的那个一样，是 ______。,卷面,,n/a,,1,印刷体,★★跨源：记名册上被划掉的那个考号（见 q.fill.11 / q.fill.12）；6.3「窗外」
q.fill.38,广播念到的考号是 ______。,卷面,,n/a,,1,印刷体,★3.4 广播从「报时间」变成「念考号」；7.1 终局异象——念到你时全班一起转头（包括没有影子的人）
q.fill.39,你在橡皮上抄的勾股公式是 a² + b² = ______。,卷面,,n/a,,1,印刷体,★4.2「你自己的橡皮／笔袋夹层」：进场前抄的、只有你有，所以它没有任何遮挡——最安全的源
q.fill.40,你进场前抄在橡皮上的那个日期是 ______ 年。,卷面,,n/a,,1,印刷体,★★2.5.3 年份倒退：橡皮上抄的「今年」不会变，而抬头的年份在往后退
q.fill.41,你抄在橡皮上的上一轮排名是第 ______ 名。,卷面,,n/a,,1,印刷体,★你在橡皮上抄的是上一轮的排名；6.3「走廊红榜」——你的名字每次经过都往下移一格，而红榜是刚贴的
q.fill.42,红榜上你名字那一行印的分数是 ______ 分。,卷面,,n/a,,1,印刷体,★跨源：先用自己卷面上的考号确认红榜上哪一行是你；4.4 不可信来源——红榜是刚贴的（糨糊未干）
q.fill.43,这一轮试卷抬头印的是「______」。,卷面,,n/a,,1,印刷体,★★2.5.1 / 2.5.2 终局：抬头上是你的考号，不是次数——没有人通知你，是你自己发现的
q.math.04,本场考试满分 108 分，共 9 道题，每题分值相同，每题 ______ 分。,卷面,,n/a,,1,印刷体,数学类·手机通道（计算器）；★8.2 的「8–10 道/轮」：卷子上的题数就是你在数的那个数
q.math.05,考试 9:00 开始，共 20 分钟；广播在剩余 5 分钟时报时，此刻挂钟指向 ______。,卷面,,n/a,,1,印刷体,★与 3.1 广播报时 / 3.4 报时污染咬合：答案是挂钟上的位置，不是广播说的数字
q.math.06,翻盖机还有 4 格电，看一次短信耗 1 格，发一条短信耗 2 格。你已经发过 1 条短信，还够看 ______ 次。,卷面,,n/a,,1,印刷体,★5.4 电量：它给手机通道一个真正的额度——发出去的短信比看过的那条更贵
q.en.05,英语书面表达题的要求是「假如你是李华」，落款署名一律写 ______。,卷面,,n/a,,1,印刷体,★教材腔（5.5.1）：书面表达题的落款永远是 Li Hua；A4——你写下的每一句都是真的
q.en.06,上周英语课听写的最后一个单词是 ______。,卷面,,n/a,,1,印刷体,英语课内词（A）→ 环境通道（黑板单词／课本）；★6.4「所有人都静止，但考场有声音」
q.en.07,英语听力第 9 题的答案是 ______。,卷面,,n/a,,1,印刷体,★★A2 + 3.4：听力里念的「第 9 题答案」其实是你的考号；而听力期间你不能动（5.5.2）
q.news.04,上月下发的《家长通知书》要求交回的日期是 ______ 月 ______ 日。,卷面,,n/a,,1,印刷体,★4.4：短信里的日期可以骗你；与 q.fill.23 家长签字咬合——他从来没来过学校
q.news.05,你发出去的那条短信，回信里写的年份是 ______ 年。,卷面,,n/a,,1,印刷体,★★7.1 第三场异象收尾：你发出去的短信，回信写着你的考号和一个日期——你只想知道是谁回的
q.news.06,彩信附件里那张合影拍摄于 ______ 年。,卷面,,n/a,,1,印刷体,★★7.1 第二场异象收尾：彩信附件是往届考生的脸，其中一张是你；照片的年代跟着 2.5.3 一起往前退
